IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
129.146.248.140,443,true,LAX,North America,Los Angeles,261 ms,1711 kB/s
130.162.37.142,443,true,FRA,Europe,Frankfurt,259 ms,1692 kB/s
132.226.128.25,443,true,FRA,Europe,Frankfurt,265 ms,1670 kB/s
158.101.212.62,443,true,FRA,Europe,Frankfurt,270 ms,1625 kB/s
141.148.229.106,443,true,AMS,Europe,Amsterdam,257 ms,1518 kB/s
34.154.249.231,443,true,FRA,Europe,Frankfurt,253 ms,1439 kB/s
138.3.254.39,443,true,FRA,Europe,Frankfurt,259 ms,1411 kB/s
141.144.193.132,443,true,FRA,Europe,Frankfurt,252 ms,1328 kB/s
35.246.191.74,443,true,FRA,Europe,Frankfurt,252 ms,1311 kB/s
158.101.218.242,443,true,FRA,Europe,Frankfurt,253 ms,1308 kB/s
34.154.85.218,443,true,FRA,Europe,Frankfurt,240 ms,1011 kB/s
131.186.28.236,443,true,NRT,Asia Pacific,Tokyo,72 ms,764 kB/s
158.178.206.197,2053,true,CDG,Europe,Paris,251 ms,649 kB/s
152.70.234.188,443,true,NRT,Asia Pacific,Tokyo,71 ms,489 kB/s
141.144.232.159,443,true,FRA,Europe,Frankfurt,258 ms,393 kB/s
150.230.20.156,8443,true,AMS,Europe,Amsterdam,259 ms,380 kB/s
130.61.109.6,2053,true,FRA,Europe,Frankfurt,248 ms,352 kB/s
130.61.109.6,8443,true,FRA,Europe,Frankfurt,249 ms,320 kB/s
34.163.89.60,2053,true,CDG,Europe,Paris,340 ms,246 kB/s
144.24.173.250,2053,true,FRA,Europe,Frankfurt,257 ms,195 kB/s
158.178.206.197,8443,true,CDG,Europe,Paris,250 ms,188 kB/s
144.24.161.142,8443,true,FRA,Europe,Frankfurt,254 ms,185 kB/s
141.147.47.32,8443,true,FRA,Europe,Frankfurt,257 ms,150 kB/s
130.61.239.203,2053,true,FRA,Europe,Frankfurt,260 ms,147 kB/s
132.145.93.198,2083,true,NRT,Asia Pacific,Tokyo,108 ms,137 kB/s
150.230.20.156,2053,true,AMS,Europe,Amsterdam,254 ms,137 kB/s
130.61.239.203,443,true,FRA,Europe,Frankfurt,253 ms,131 kB/s
158.101.169.13,2053,true,FRA,Europe,Frankfurt,252 ms,118 kB/s
129.154.50.159,443,true,ICN,Asia Pacific,Seoul,149 ms,105 kB/s
130.61.107.238,8443,true,FRA,Europe,Frankfurt,259 ms,99 kB/s
129.154.50.220,443,true,ICN,Asia Pacific,Seoul,151 ms,80 kB/s
144.22.252.124,443,true,GRU,South America,São Paulo,360 ms,77 kB/s
141.148.225.142,443,true,AMS,Europe,Amsterdam,257 ms,77 kB/s
84.235.169.234,443,true,AMS,Europe,Amsterdam,264 ms,73 kB/s
158.101.169.13,8443,true,FRA,Europe,Frankfurt,262 ms,67 kB/s
192.9.182.144,443,true,SYD,Oceania,Sydney,358 ms,51 kB/s
158.101.175.51,8443,true,FRA,Europe,Frankfurt,247 ms,51 kB/s
130.61.109.6,2096,true,FRA,Europe,Frankfurt,260 ms,48 kB/s
144.24.173.250,8443,true,FRA,Europe,Frankfurt,255 ms,45 kB/s
158.178.129.114,8443,true,TLV,Middle East,Tel Aviv,241 ms,42 kB/s
150.136.61.148,443,true,IAD,North America,Ashburn,263 ms,42 kB/s
158.178.129.114,2053,true,TLV,Middle East,Tel Aviv,262 ms,38 kB/s
144.24.169.81,8443,true,FRA,Europe,Frankfurt,246 ms,38 kB/s
129.159.197.137,8443,true,FRA,Europe,Frankfurt,274 ms,36 kB/s
158.101.215.45,8443,true,AMS,Europe,Amsterdam,257 ms,34 kB/s
144.24.169.81,2053,true,FRA,Europe,Frankfurt,243 ms,32 kB/s
158.101.98.60,2095,true,IAD,North America,Ashburn,294 ms,26 kB/s
158.101.175.51,2053,true,FRA,Europe,Frankfurt,261 ms,25 kB/s
192.9.180.162,443,true,SYD,Oceania,Sydney,346 ms,24 kB/s
168.138.212.196,2096,true,NRT,Asia Pacific,Tokyo,149 ms,0 kB/s
192.18.159.129,443,true,YYZ,North America,Toronto,250 ms,0 kB/s
150.230.7.216,443,true,KIX,Asia Pacific,Osaka,222 ms,0 kB/s
129.146.111.62,443,true,LAX,North America,Los Angeles,239 ms,0 kB/s
150.230.196.248,443,true,NRT,Asia Pacific,Tokyo,158 ms,0 kB/s
140.83.61.244,443,true,KIX,Asia Pacific,Osaka,222 ms,0 kB/s
192.18.134.22,443,true,SJC,North America,San Jose,185 ms,0 kB/s
150.230.63.93,443,true,KIX,Asia Pacific,Osaka,228 ms,0 kB/s
168.138.50.249,443,true,KIX,Asia Pacific,Osaka,227 ms,0 kB/s
158.101.24.17,443,true,LAX,North America,Los Angeles,240 ms,0 kB/s
152.70.155.147,2053,true,LAX,North America,Los Angeles,277 ms,0 kB/s
138.2.18.184,443,true,NRT,Asia Pacific,Tokyo,149 ms,0 kB/s
34.82.188.91,443,true,SEA,North America,Seattle,306 ms,0 kB/s
146.56.157.97,443,true,NRT,Asia Pacific,Tokyo,71 ms,0 kB/s
152.70.235.207,443,true,NRT,Asia Pacific,Tokyo,70 ms,0 kB/s
129.159.84.71,443,true,IAD,North America,Ashburn,259 ms,0 kB/s
129.159.83.88,8443,true,IAD,North America,Ashburn,247 ms,0 kB/s
138.2.157.236,443,true,FRA,Europe,Frankfurt,255 ms,0 kB/s
152.70.155.147,2083,true,LAX,North America,Los Angeles,268 ms,0 kB/s
158.180.68.56,443,true,ICN,Asia Pacific,Seoul,143 ms,0 kB/s
